Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
WHO,-117.175,83.3163,-77.6865,WHO-1,FRO_GUN_LEG_NIX_RAW_OFF,FRO-WHO_GUN-WHO_LEG-WHO_NIX-WHO_RAW-WHO_OFF-WHO,FRO-WHO-1_GUN-WHO-1_LEG-WHO-1_NIX-WHO-1_RAW-WHO-1_OFF-WHO-2,FRO-1_GUN-1_LEG-1_NIX-1_RAW-1_OFF-2,1,inner,left
JOB,-74.1696,2.48442,71.2032,JOB-5,NAY_NIL_JUG_TOY,JOB-NAY_JOB-NIL_JOB-JUG_JOB-TOY,JOB-NAY-5_JOB-NIL-5_JOB-JUG-5_JOB-TOY-5,NAY-5_NIL-5_JUG-5_TOY-5,0,outer,left
SEX,124.956,62.7204,-12.9705,SEX-8_SEX-10,AMP_YAY_CAB_GEL,AMP-SEX_SEX-YAY_CAB-SEX_GEL-SEX,AMP-SEX-10_CAB-SEX-10_GEL-SEX-10_SEX-YAY-8,AMP-10_CAB-10_GEL-10_YAY-8,0,inner,right
ASK,-65.0692,122.162,-58.4657,ASK-2,ORC_GUN_TUB_OFF_TAG_FRO,ASK-ORC_ASK-GUN_ASK-TUB_ASK-OFF_ASK-TAG_ASK-FRO,ASK-ORC-2_ASK-GUN-2_ASK-TUB-2_ASK-OFF-2_ASK-TAG-2_ASK-FRO-2,ORC-2_GUN-2_TUB-2_OFF-2_TAG-2_FRO-1,0,outer,left
ASH,39.7492,-80.5596,55.8151,ASH-12,ACT_ART_LAM_BUG_HAM,ACT-ASH_ART-ASH_ASH-LAM_ASH-BUG_ASH-HAM,ACT-ASH-12_ART-ASH-12_ASH-LAM-12_ASH-BUG-12_ASH-HAM-12,ACT-12_ART-12_LAM-12_BUG-12_HAM-6,0,outer,right
ODD,41.236,94.7887,35.491,ODD-11,AIR_GAS_KEG,AIR-ODD_GAS-ODD_KEG-ODD,AIR-ODD-11_GAS-ODD-11_KEG-ODD-11,AIR-11_GAS-11_KEG-11,0,outer,right
WHY,69.002,102.121,-10.0883,WHY-8,KEG_LUG_PAY_SAW,KEG-WHY_LUG-WHY_PAY-WHY_SAW-WHY,KEG-WHY-8_LUG-WHY-8_PAY-WHY-8_SAW-WHY-8,KEG-8_LUG-8_PAY-8_SAW-8,0,outer,right
DUH,-1.74029,-57.8953,72.9152,DUH-6,ACT_TRY_MOP_SOY_HAM,ACT-DUH_DUH-TRY_DUH-MOP_DUH-SOY_DUH-HAM,ACT-DUH-6_DUH-TRY-6_DUH-MOP-6_DUH-SOY-6_DUH-HAM-6,ACT-6_TRY-6_MOP-6_SOY-6_HAM-6,0,outer,mid
ELK,83.5311,-74.9377,-37.0472,ELK-9,COP_SIR_USE_KIT_TAT,COP-ELK_ELK-SIR_ELK-USE_ELK-KIT_ELK-TAT,COP-ELK-9_ELK-SIR-9_ELK-USE-9_ELK-KIT-9_ELK-TAT-9,COP-9_SIR-9_USE-9_KIT-9_TAT-9,0,inner,right
YAY,83.1422,53.8301,-46.7406,YAY-8,AMP_BAM_HAY_JAR_SAW_SEX_TAR_CAB,AMP-YAY_BAM-YAY_HAY-YAY_JAR-YAY_SAW-YAY_SEX-YAY_TAR-YAY_CAB-YAY,AMP-YAY-8_BAM-YAY-8_HAY-YAY-8_JAR-YAY-8_SAW-YAY-8_SEX-YAY-8_TAR-YAY-8_CAB-YAY-10,AMP-8_BAM-8_HAY-8_JAR-8_SAW-8_SEX-8_TAR-8_CAB-10,1,inner,right
