Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
WIG,-80.66018531,-104.1232802,-14.00430264,DEPRECATED,ELK_KEY_KIT_NOR_USE_WOW,ELK-WIG_KEY-WIG_KIT-WIG_NOR-WIG_USE-WIG_WIG-WOW,DEPRECATED,DEPRECATED,0,outer,left
EYE,95.25591469,9.086469785,18.46879736,DEPRECATED,ACE_GAS_SUN_FIX_IVY_POP,ACE-EYE_EYE-GAS_EYE-SUN_EYE-FIX_EYE-IVY_EYE-POP,DEPRECATED,DEPRECATED,0,outer,right
HAM,-72.73478531,1.925039785,49.19047736,DEPRECATED,ACT_ASH_DUH_GIN_NAN_LAX_ZZZ_ICE,ACT-HAM_ASH-HAM_DUH-HAM_GIN-HAM_HAM-NAN_HAM-LAX_HAM-ZZZ_HAM-ICE,DEPRECATED,DEPRECATED,0,outer,left
LIE,23.13491469,-70.39778021,54.58787736,DEPRECATED,COW_EAR_EVE_FAX_GIG_HOT_JAM_LAW_ZAP_OLD_TAU_PIG_ZOO,COW-LIE_EAR-LIE_EVE-LIE_FAX-LIE_GIG-LIE_HOT-LIE_JAM-LIE_LAW-LIE_LIE-ZAP_LIE-OLD_LIE-TAU_LIE-PIG_LIE-ZOO,DEPRECATED,DEPRECATED,0,inner,right
CHI,-99.77388531,-39.13078021,-9.506032644,DEPRECATED,AGE_BED_MAD_COY_DOG_KIT,AGE-CHI_BED-CHI_CHI-MAD_CHI-COY_CHI-DOG_CHI-KIT,DEPRECATED,DEPRECATED,0,outer,left
FIX,73.79991469,-9.907870215,25.56523736,DEPRECATED,ACE_AIR_COW_EYE_MAC_ODD_POP_IVY_GAS_GIG_LUG_YES,ACE-FIX_AIR-FIX_COW-FIX_EYE-FIX_FIX-MAC_FIX-ODD_FIX-POP_FIX-IVY_FIX-GAS_FIX-GIG_FIX-LUG_FIX-YES,DEPRECATED,DEPRECATED,0,inner,right
JAR,80.67491469,-55.27258021,-40.14162264,DEPRECATED,BAM_ETA_HAY_TAR_WIN_PAY_LUG_YAY_WHY_SAW,BAM-JAR_ETA-JAR_HAY-JAR_JAR-TAR_JAR-WIN_JAR-PAY_JAR-LUG_JAR-YAY_JAR-WHY_JAR-SAW,DEPRECATED,DEPRECATED,0,inner,right
GIG,45.44991469,-23.53178021,53.55597736,DEPRECATED,AIR_COW_ERA_EVE_FAX_FIX_IRE_YES_LIE_MAC_LAW,AIR-GIG_COW-GIG_ERA-GIG_EVE-GIG_FAX-GIG_FIX-GIG_GIG-IRE_GIG-YES_GIG-LIE_GIG-MAC_GIG-LAW,DEPRECATED,DEPRECATED,0,inner,right
HAY,75.18491469,-68.06738021,-60.99695264,DEPRECATED,BAM_JAR_WIN_YAY_SAW,BAM-HAY_HAY-JAR_HAY-WIN_HAY-YAY_HAY-SAW,DEPRECATED,DEPRECATED,1,outer,right
JAM,29.58691469,-102.4980802,52.18057736,DEPRECATED,EAR_HOT_ZOO_PIG_LIE_MOO,EAR-JAM_HOT-JAM_JAM-ZOO_JAM-PIG_JAM-LIE_JAM-MOO,DEPRECATED,DEPRECATED,0,outer,right
FIG,-66.68308531,-94.63708021,36.45687736,DEPRECATED,ART_BUG_KEY_GOO_NOR_YAK,ART-FIG_BUG-FIG_FIG-KEY_FIG-GOO_FIG-NOR_FIG-YAK,DEPRECATED,DEPRECATED,0,outer,left
LID,-71.91598531,57.03345979,-91.59482264,DEPRECATED,AIM_BOX_EGO_GYM_HUG_MOM_WAX,AIM-LID_BOX-LID_EGO-LID_GYM-LID_HUG-LID_LID-MOM_LID-WAX,DEPRECATED,DEPRECATED,1,inner,left
WET,53.48991469,66.64073979,32.80697736,DEPRECATED,ACE_ADO_ARM_BRO_DUB_ELF_EON_NIL_NOM_TOY_YES,ACE-WET_ADO-WET_ARM-WET_BRO-WET_DUB-WET_ELF-WET_EON-WET_NIL-WET_NOM-WET_TOY-WET_WET-YES,DEPRECATED,DEPRECATED,0,inner,right
GIN,-85.52768531,26.57760979,20.66678736,DEPRECATED,BED_DAY_WIZ_SAY_NAN_LAX_TAX_ICE_ZZZ_VOW_HAM,BED-GIN_DAY-GIN_GIN-WIZ_GIN-SAY_GIN-NAN_GIN-LAX_GIN-TAX_GIN-ICE_GIN-ZZZ_GIN-VOW_GIN-HAM,DEPRECATED,DEPRECATED,0,inner,left
LAM,-46.87548531,-47.55288021,65.35907736,DEPRECATED,ACT_ASH_BUG_LAB_TAU_TRY,ACT-LAM_ASH-LAM_BUG-LAM_LAB-LAM_LAM-TAU_LAM-TRY,DEPRECATED,DEPRECATED,0,outer,left
PHI,70.71091469,-102.8541802,8.053687356,DEPRECATED,EAR_GEL_TAR_WAS_SEX_SAW,EAR-PHI_GEL-PHI_PHI-TAR_PHI-WAS_PHI-SEX_PHI-SAW,DEPRECATED,DEPRECATED,0,outer,right
OIL,-54.62288531,95.41231979,2.523727356,DEPRECATED,AGO_ALA_DRY_FLY_GUT_INK_VOW_RUM_SHY_TAX_REF,AGO-OIL_ALA-OIL_DRY-OIL_FLY-OIL_GUT-OIL_INK-OIL_OIL-VOW_OIL-RUM_OIL-SHY_OIL-TAX_OIL-REF,DEPRECATED,DEPRECATED,0,inner,left
NIL,23.62591469,49.65308979,55.14827736,DEPRECATED,ADO_AHI_EON_ERA_JOB_JUG_TOY_WET_YES_PLY,ADO-NIL_AHI-NIL_EON-NIL_ERA-NIL_JOB-NIL_JUG-NIL_NIL-TOY_NIL-WET_NIL-YES_NIL-PLY,DEPRECATED,DEPRECATED,0,inner,right
ELF,42.03791469,100.9080198,6.134797356,DEPRECATED,ADO_ARM_BIO_DUB_WET_SPY_PIE_GAL_WAR_RAD_HOW_NOM,ADO-ELF_ARM-ELF_BIO-ELF_DUB-ELF_ELF-WET_ELF-SPY_ELF-PIE_ELF-GAL_ELF-WAR_ELF-RAD_ELF-HOW_ELF-NOM,DEPRECATED,DEPRECATED,0,inner,right
AHI,35.92691469,28.30206979,67.00847736,DEPRECATED,NIL_YES_ERA_IRE_JUG_EON,AHI-NIL_AHI-YES_AHI-ERA_AHI-IRE_AHI-JUG_AHI-EON,DEPRECATED,DEPRECATED,0,outer,right
LAB,-37.47038531,-69.66668021,65.73047736,DEPRECATED,BUG_LAM_TAU_YAK_ZAP_OLD,BUG-LAB_LAB-LAM_LAB-TAU_LAB-YAK_LAB-ZAP_LAB-OLD,DEPRECATED,DEPRECATED,0,outer,left
