Bar_name,Module,Min_X,Min_Y,Min_Z,Max_X,Max_Y,Max_Z,Nodes,Physical_Bars,Physical_Nodes,Adjacent_Nodes,Adjacent_Physical_Bars,Adjacent_Bars,Adjacent_Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
FOR-OAK,1,-3.312085311,-153.0888802,-26.66752264,16.99991469,-142.3818802,-7.293152644,FOR_OAK,DEPRECATED,DEPRECATED,CAB_DAD_FOR_GET_ROB_DAD_EGG_OAK_GET_RUG_HIP,DEPRECATED,CAB-OAK_DAD-OAK_FOR-OAK_GET-OAK_OAK-ROB_DAD-FOR_EGG-FOR_FOR-OAK_FOR-GET_FOR-RUG_FOR-HIP,DEPRECATED,0,outer,mid
FOR-HIP,1,-34.37648531,-153.0888802,-13.17470264,-3.312085311,-147.4638802,-7.293152644,FOR_HIP,DEPRECATED,DEPRECATED,FOR_GET_SAD_WOW_RUG_NEW_DAD_EGG_OAK_GET_RUG_HIP,DEPRECATED,FOR-HIP_GET-HIP_HIP-SAD_HIP-WOW_HIP-RUG_HIP-NEW_DAD-FOR_EGG-FOR_FOR-OAK_FOR-GET_FOR-RUG_FOR-HIP,DEPRECATED,0,outer,mid
HIP-NEW,1,-43.07138531,-147.4638802,-37.50233264,-34.37648531,-128.0658802,-13.17470264,HIP_NEW,DEPRECATED,DEPRECATED,FOR_GET_SAD_WOW_RUG_NEW_COP_GET_HIP_WOW_USE,DEPRECATED,FOR-HIP_GET-HIP_HIP-SAD_HIP-WOW_HIP-RUG_HIP-NEW_COP-NEW_GET-NEW_HIP-NEW_NEW-WOW_NEW-USE,DEPRECATED,0,outer,left
GET-NEW,1,-43.07138531,-135.3728802,-37.50233264,-12.52008531,-128.0658802,-31.72499264,GET_NEW,DEPRECATED,DEPRECATED,COP_GET_HIP_WOW_USE_CAB_COP_DAD_FOR_OAK_HIP_RUG_WOW_NEW,DEPRECATED,COP-NEW_GET-NEW_HIP-NEW_NEW-WOW_NEW-USE_CAB-GET_COP-GET_DAD-GET_FOR-GET_GET-OAK_GET-HIP_GET-RUG_GET-WOW_GET-NEW,DEPRECATED,1,in_to_out,left
CAB-GET,1,-12.52008531,-135.3728802,-33.25374264,24.49491469,-116.5198802,-31.72499264,CAB_GET,DEPRECATED,DEPRECATED,AMP_ROB_DAD_YAY_OAK_GET_SEX_CAB_COP_DAD_FOR_OAK_HIP_RUG_WOW_NEW,DEPRECATED,AMP-CAB_CAB-ROB_CAB-DAD_CAB-YAY_CAB-OAK_CAB-GET_CAB-SEX_CAB-GET_COP-GET_DAD-GET_FOR-GET_GET-OAK_GET-HIP_GET-RUG_GET-WOW_GET-NEW,DEPRECATED,1,inner,mid
DAD-GET,1,-12.52008531,-140.9648802,-31.72499264,23.77391469,-135.3728802,4.916787356,DAD_GET,DEPRECATED,DEPRECATED,CAB_GEL_FOR_EAR_RUG_PIG_ROB_SEX_EGG_GET_OAK_MOO_CAB_COP_DAD_FOR_OAK_HIP_RUG_WOW_NEW,DEPRECATED,CAB-DAD_DAD-GEL_DAD-FOR_DAD-EAR_DAD-RUG_DAD-PIG_DAD-ROB_DAD-SEX_DAD-EGG_DAD-GET_DAD-OAK_DAD-MOO_CAB-GET_COP-GET_DAD-GET_FOR-GET_GET-OAK_GET-HIP_GET-RUG_GET-WOW_GET-NEW,DEPRECATED,0,inner,mid
DAD-FOR,1,-3.312085311,-153.0888802,-7.293152644,23.77391469,-140.9648802,4.916787356,DAD_FOR,DEPRECATED,DEPRECATED,CAB_GEL_FOR_EAR_RUG_PIG_ROB_SEX_EGG_GET_OAK_MOO_DAD_EGG_OAK_GET_RUG_HIP,DEPRECATED,CAB-DAD_DAD-GEL_DAD-FOR_DAD-EAR_DAD-RUG_DAD-PIG_DAD-ROB_DAD-SEX_DAD-EGG_DAD-GET_DAD-OAK_DAD-MOO_DAD-FOR_EGG-FOR_FOR-OAK_FOR-GET_FOR-RUG_FOR-HIP,DEPRECATED,0,in_to_out,mid
EGG-FOR,1,-3.312085311,-153.0888802,-7.293152644,3.377914689,-143.2638802,26.32480736,EGG_FOR,DEPRECATED,DEPRECATED,ALL_DAD_RUG_PIG_FOR_MOO_DAD_EGG_OAK_GET_RUG_HIP,DEPRECATED,ALL-EGG_DAD-EGG_EGG-RUG_EGG-PIG_EGG-FOR_EGG-MOO_DAD-FOR_EGG-FOR_FOR-OAK_FOR-GET_FOR-RUG_FOR-HIP,DEPRECATED,0,outer,mid
ALL-EGG,1,-22.19968531,-143.2638802,26.32480736,3.377914689,-131.3098802,36.77397736,ALL_EGG,DEPRECATED,DEPRECATED,PRO_GOO_EGG_SAD_RUG_PIG_ALL_DAD_RUG_PIG_FOR_MOO,DEPRECATED,ALL-PRO_ALL-GOO_ALL-EGG_ALL-SAD_ALL-RUG_ALL-PIG_ALL-EGG_DAD-EGG_EGG-RUG_EGG-PIG_EGG-FOR_EGG-MOO,DEPRECATED,0,outer,mid
ALL-PRO,1,-22.35008531,-131.3098802,36.77397736,-22.19968531,-111.9128802,52.64477736,ALL_PRO,DEPRECATED,DEPRECATED,PRO_GOO_EGG_SAD_RUG_PIG_ALL_GOO_HOT_PIG_ZAP_YAK,DEPRECATED,ALL-PRO_ALL-GOO_ALL-EGG_ALL-SAD_ALL-RUG_ALL-PIG_ALL-PRO_GOO-PRO_HOT-PRO_PIG-PRO_PRO-ZAP_PRO-YAK,DEPRECATED,0,outer,left
