Pixel_i,Module1,Module2,Node1,Node2,X,Y,Z
30,11,11,AIR,COW,64.44473176015802,-47.82179031110848,33.43977407619871
31,11,11,AIR,COW,64.22185213249662,-48.334798720812095,33.09669465773867
32,11,11,AIR,COW,63.99897250483523,-48.84780713051571,32.75361523927862
33,11,11,AIR,COW,63.77609287717384,-49.36081554021933,32.41053582081858
34,11,11,AIR,COW,63.553213249512446,-49.873823949922944,32.06745640235854
35,11,11,AIR,COW,63.330333621851054,-50.38683235962656,31.724376983898495
36,11,11,AIR,COW,63.10745399418966,-50.899840769330176,31.38129756543845
37,11,11,AIR,COW,62.88457436652827,-51.41284917903379,31.03821814697841
38,11,11,AIR,COW,62.66169473886688,-51.92585758873741,30.695138728518366
39,11,11,AIR,COW,62.438815111205486,-52.438865998441024,30.352059310058323
40,11,11,AIR,COW,62.215935483544094,-52.95187440814464,30.00897989159828
41,11,11,AIR,COW,61.9930558558827,-53.464882817848256,29.665900473138237
42,11,11,AIR,COW,61.77017622822131,-53.97789122755187,29.322821054678194
43,11,11,AIR,COW,61.54729660055992,-54.49089963725549,28.97974163621815
44,11,11,AIR,COW,61.324416972898526,-55.003908046959104,28.636662217758108
45,11,11,AIR,COW,61.10153734523713,-55.51691645666272,28.293582799298065
46,11,11,AIR,COW,60.87865771757574,-56.029924866366336,27.950503380838022
47,11,11,AIR,COW,60.65577808991435,-56.54293327606995,27.60742396237798
48,11,11,AIR,ODD,71.50225404829871,-32.54047597943496,43.20211047979288
49,11,11,AIR,ODD,71.87338750659742,-32.64941393886992,42.67206432958576
50,11,11,AIR,ODD,72.24452096489614,-32.75835189830488,42.14201817937864
51,11,11,AIR,ODD,72.61565442319485,-32.86728985773984,41.61197202917152
52,11,11,AIR,ODD,72.98678788149357,-32.9762278171748,41.0819258789644
53,11,11,AIR,ODD,73.35792133979228,-33.08516577660976,40.55187972875728
54,11,11,AIR,ODD,73.729054798091,-33.194103736044724,40.02183357855016
55,11,11,AIR,ODD,74.10018825638971,-33.303041695479685,39.49178742834304
56,11,11,AIR,ODD,74.47132171468843,-33.411979654914646,38.96174127813592
57,11,11,AIR,ODD,74.84245517298714,-33.52091761434961,38.4316951279288
58,11,11,AIR,ODD,75.21358863128586,-33.62985557378457,37.90164897772168
59,11,11,AIR,ODD,75.58472208958457,-33.73879353321953,37.37160282751456
60,11,11,AIR,ODD,75.95585554788329,-33.84773149265449,36.84155667730744
61,11,11,AIR,ODD,76.326989006182,-33.95666945208945,36.31151052710032
62,11,11,AIR,ODD,76.69812246448072,-34.06560741152441,35.7814643768932
63,11,11,AIR,ODD,77.06925592277943,-34.17454537095937,35.25141822668608
64,11,11,AIR,ODD,77.44038938107815,-34.28348333039433,34.72137207647896
65,11,11,AIR,ODD,77.81152283937686,-34.392421289829294,34.19132592627184
66,11,11,AIR,ODD,78.18265629767558,-34.501359249264254,33.66127977606472
67,11,11,AIR,ODD,78.5537897559743,-34.610297208699215,33.1312336258576
68,11,11,AIR,ODD,78.92492321427301,-34.719235168134176,32.60118747565048
69,11,11,AIR,ODD,79.29605667257172,-34.82817312756914,32.07114132544336
70,11,11,AIR,ODD,79.66719013087044,-34.9371110870041,31.54109517523624
71,11,11,AIR,ODD,80.03832358916915,-35.04604904643906,31.011049025029124
72,11,11,AIR,ODD,80.40945704746787,-35.15498700587402,30.481002874822007
73,11,11,AIR,ODD,80.78059050576658,-35.26392496530898,29.95095672461489
74,11,11,AIR,ODD,81.1517239640653,-35.37286292474394,29.420910574407774
75,11,11,AIR,ODD,81.52285742236401,-35.4818008841789,28.890864424200657
76,11,11,AIR,ODD,81.89399088066273,-35.59073884361386,28.36081827399354
77,11,11,AIR,ODD,82.26512433896144,-35.699676803048824,27.830772123786424
78,11,11,AIR,ODD,82.63625779726016,-35.808614762483785,27.300725973579308
79,11,11,AIR,ODD,83.00739125555887,-35.917552721918746,26.77067982337219
