jascha name 1,jascha name 2,jascha (new) bar,brian 1,brian 2,brian (old) bar,length (text from sticker),length (decimal),step,is this bar needed on 1/10/2015?
OIL,DRY,"OIL,DRY",cub,dry,"cub,dry",32.5,32.5,286,
ACT,TRY,"ACT,TRY",act,try,"act,try",29.5,29.5,85,1
SOY,DUH,"SOY,DUH",low,duh,"low,duh",31.3,31.3,20,
ACT,DUH,"ACT,DUH",act,duh,"act,duh",32.2,32.2,82,1
YES,MAC,"YES,MAC",tab,mac,"tab,mac",33.9,33.9,112,
MOP,FAN,"MOP,FAN",ass,tow,"ass,tow",29.3,29.3,105,
AIR,ODD,"AIR,ODD",air,dug,"air,dug",30.1,30.1,266,
YES,IRE,"YES,IRE",tab,den,"tab,den",43.1,43.1,114,
VOW,DRY,"VOW,DRY",dab,dry,"dab,dry",34.1,34.1,146,
ADO,WET,"ADO,WET",ado,poi,"ado,poi",48.4,48.4,68,1
SOY,TRY,"SOY,TRY",low,try,"low,try",34.4,34.4,19,
EON,POP,"EON,POP",mic,pop,"mic,pop",40.2,40.2,219,
TAU,BUG,"TAU,BUG",aid,tap,"aid,tap",51,51,58,
WAR,DUB,"WAR,DUB",pow,dub,"pow,dub",30.1,30.1,277,
ZAP,HOT,"ZAP,HOT",cue,hog,"cue,hog",31.6,31.6,171,
ZAP,LAB,"ZAP,LAB",cue,mod,"cue,mod",31,31,168,
MAC,AIR,"MAC,AIR",mac,air,"mac,air",32.7,32.7,241,
LAX,COY,"LAX,COY",pew,coy,"pew,coy",46.1,46.1,189,
HOW,FEW,"HOW,FEW",cry,has,"cry,has",32.3,32.3,225,
ADO,REF,"ADO,REF",ado,lob,"ado,lob",47.2,47.2,67,1
HAM,ICE,"HAM,ICE",ham,dew,"ham,dew",40.1,40.1,207,
PLY,FAN,"PLY,FAN",ply,tow,"ply,tow",36,36,50,
NAN,VOW,"NAN,VOW",tad,dab,"tad,dab",49.4,49.4,97,
LIE,ZAP,"LIE,ZAP",lie,cue,"lie,cue",49.2,49.2,121,
ERA,AHI,"ERA,AHI",aby,tug,"aby,tug",31.3,31.3,28,1
ZAP,GOO,"ZAP,GOO",cue,goo,"cue,goo",45,45,167,
TAU,ZAP,"TAU,ZAP",aid,cue,"aid,cue",42.7,42.7,55,
FIX,POP,"FIX,POP",pet,pop,"pet,pop",34.5,34.5,234,
PIG,EAR,"PIG,EAR",pig,lye,"pig,lye",48.4,48.4,244,
JUG,JOB,"JUG,JOB",ant,pug,"ant,pug",39.2,39.2,52,
LIE,FAX,"LIE,FAX",lie,the,"lie,the",36.6,36.6,127,
ELF,SPY,"ELF,SPY",tan,lot,"tan,lot",49.8,49.8,269,
REF,VOW,"REF,VOW",lob,dab,"lob,dab",48.8,48.8,133,
OIL,FLY,"OIL,FLY",cub,mar,"cub,mar",31.5,31.5,284,
ERA,YES,"ERA,YES",aby,tab,"aby,tab",45.3,45.3,25,1
EON,BRO,"EON,BRO",mic,rag,"mic,rag",41.2,41.2,220,
JOB,TOY,"JOB,TOY",pug,toy,"pug,toy",35.4,35.4,76,
VOW,OIL,"VOW,OIL",dab,cub,"dab,cub",48.9,48.9,143,
NIL,JUG,"NIL,JUG",tea,ant,"tea,ant",38.9,38.9,39,
PLY,NAY,"PLY,NAY",ply,asp,"ply,asp",36.8,36.8,47,
ELF,PIE,"ELF,PIE",tan,pie,"tan,pie",49.9,49.9,267,
SOY,JUG,"SOY,JUG",low,ant,"low,ant",41.7,41.7,18,
BUG,LAM,"BUG,LAM",tap,ram,"tap,ram",35.2,35.2,184,
ACT,NAN,"ACT,NAN",act,tad,"act,tad",48.8,48.8,78,1
BOA,SHY,"BOA,SHY",tie,dib,"tie,dib",39.4,39.4,230,
SOY,FOG,"SOY,FOG",low,mat,"low,mat",36.3,36.3,17,
LIE,COW,"LIE,COW",lie,cow,"lie,cow",49.8,49.8,122,
REF,DRY,"REF,DRY",lob,dry,"lob,dry",32,32,138,
ERA,SOY,"ERA,SOY",aby,low,"aby,low",42.1,42.1,3,1
LIE,EAR,"LIE,EAR",lie,lye,"lie,lye",51.5,51.5,123,
FIX,IVY,"FIX,IVY",pet,guy,"pet,guy",47,47,233,
YES,POP,"YES,POP",tab,pop,"tab,pop",31.8,31.8,115,
SOY,NAN,"SOY,NAN",low,tad,"low,tad",46.9,46.9,14,
OIL,INK,"OIL,INK",cub,pub,"cub,pub",37.9,37.9,283,
IRE,AHI,"IRE,AHI",den,tug,"den,tug",37.4,37.4,116,
COW,LUG,"COW,LUG",cow,lug,"cow,lug",50.3,50.3,256,
ZAP,BUG,"ZAP,BUG",cue,tap,"cue,tap",49,49,166,
HOT,JAM,"HOT,JAM",hog,tot,"hog,tot",31.5,31.5,254,
VOW,FLY,"VOW,FLY",dab,mar,"dab,mar",45.2,45.2,148,
NOM,ARM,"NOM,ARM",cut,arm,"cut,arm",31.4,31.4,321,
WET,DUB,"WET,DUB",poi,dub,"poi,dub",32.8,32.8,158,
SUN,SKY,"SUN,SKY",tom,hew,"tom,hew",30.5,30.5,416,
PIE,OVA,"PIE,OVA",pie,met,"pie,met",30.6,30.6,382,
REF,NAY,"REF,NAY",lob,asp,"lob,asp",33.8,33.8,140,
LUG,PAY,"LUG,PAY",lug,pup,"lug,pup",34.1,34.1,424,
BRO,HIT,"BRO,HIT",rag,hit,"rag,hit",28.3,28.3,324,
PIE,FEW,"PIE,FEW",pie,has,"pie,has",29.2,29.2,380,
LUG,ETA,"LUG,ETA",lug,git,"lug,git",50.7,50.7,418,
EYE,GAS,"EYE,GAS",pun,ape,"pun,ape",29.6,29.6,415,
COY,NOR,"COY,NOR",coy,ads,"coy,ads",45.3,45.3,338,
NOM,DIG,"NOM,DIG",cut,dig,"cut,dig",31.7,31.7,322,
EAR,JAM,"EAR,JAM",lye,tot,"lye,tot",33.5,33.5,310,
COY,ART,"COY,ART",coy,art,"coy,art",30,30,344,
EYE,SUN,"EYE,SUN",pun,tom,"pun,tom",30.2,30.2,414,
