jascha name 1,jascha name 2,jascha (new) bar,brian 1,brian 2,brian (old) bar,length (text from sticker),length (decimal),step,is this bar needed on 1/10/2015?
GUN,JOY,"GUN,JOY",gun,and,"gun,and",32 1/8,32.125,517,
NAY,FUN,"NAY,FUN",asp,him,"asp,him",32.2,32.2,142,
ACT,DUH,"ACT,DUH",act,duh,"act,duh",32.2,32.2,82,1
RAW,FRO,"RAW,FRO",too,apt,"too,apt",32 1/4,32.25,646,
FIX,MAC,"FIX,MAC",pet,mac,"pet,mac",32 1/4,32.25,238,
MOM,AIM,"MOM,AIM",pen,aim,"pen,aim",32 1/4,32.25,553,
GIG,IRE,"GIG,IRE",gig,den,"gig,den",32.3,32.3,94,
HOW,FEW,"HOW,FEW",cry,has,"cry,has",32.3,32.3,225,
BED,MAD,"BED,MAD",lip,mad,"lip,mad",32.3,32.3,371,
COY,KIT,"COY,KIT",coy,any,"coy,any",32.3,32.3,342,
FAN,ZZZ,"FAN,ZZZ",tow,ark,"tow,ark",32.3,32.3,153,
ELK,KIT,"ELK,KIT",pit,any,"pit,any",32.3,32.3,540,
ELF,ARM,"ELF,ARM",tan,arm,"tan,arm",32 3/8,32.375,271,
RUG,SAD,"RUG,SAD",log,did,"log,did",32 3/8,32.375,398,
KEG,WHY,"KEG,WHY",mob,hoe,"mob,hoe",32 3/8,32.375,466,
TRY,DUH,"TRY,DUH",try,duh,"try,duh",32 3/8,32.375,86,
CAB,ROB,"CAB,ROB",pin,din,"pin,din",32 3/8,32.375,628,
TAR,KEG,"TAR,KEG",tar,mob,"tar,mob",32.4,32.4,461,
SOY,RIB,"SOY,RIB",low,dim,"low,dim",32.4,32.4,21,
TAG,SKY,"TAG,SKY",tag,hew,"tag,hew",32.4,32.4,563,
ADO,BOA,"ADO,BOA",ado,tie,"ado,tie",32.5,32.5,70,1
ERA,IRE,"ERA,IRE",aby,den,"aby,den",32.5,32.5,29,1
OIL,DRY,"OIL,DRY",cub,dry,"cub,dry",32.5,32.5,286,
ELF,GAL,"ELF,GAL",tan,mag,"tan,mag",32.5,32.5,270,
ACE,SUN,"ACE,SUN",ace,tom,"ace,tom",32.5,32.5,218,1
RUM,MAY,"RUM,MAY",gnu,may,"gnu,may",32.5,32.5,361,
AGE,CHI,"AGE,CHI",age,ran,"age,ran",32.5,32.5,531,1
TAR,SAW,"TAR,SAW",tar,die,"tar,die",32.5,32.5,463,
TUX,FOX,"TUX,FOX",dip,max,"dip,max",32.5,32.5,603,
FIX,GAS,"FIX,GAS",pet,ape,"pet,ape",32.6,32.6,239,
FAN,FUN,"FAN,FUN",tow,him,"tow,him",32.6,32.6,152,
GIN,ZZZ,"GIN,ZZZ",gin,ark,"gin,ark",32.6,32.6,203,
LUG,GAS,"LUG,GAS",lug,ape,"lug,ape",32.6,32.6,422,
COW,FAX,"COW,FAX",cow,the,"cow,the",32.6,32.6,263,
INK,MAY,"INK,MAY",pub,may,"pub,may",32 5/8,32.625,487,
MAC,AIR,"MAC,AIR",mac,air,"mac,air",32.7,32.7,241,
BED,CHI,"BED,CHI",lip,ran,"lip,ran",32.7,32.7,369,
LAX,ICE,"LAX,ICE",pew,dew,"pew,dew",32.7,32.7,191,
LUG,WHY,"LUG,WHY",lug,hoe,"lug,hoe",32.7,32.7,423,
CUP,VAN,"CUP,VAN",cup,his,"cup,his",32 3/4,32.75,586,
BED,ICE,"BED,ICE",lip,dew,"lip,dew",32 3/4,32.75,372,
MOM,OAR,"MOM,OAR",pen,hey,"pen,hey",32 3/4,32.75,554,
TAU,LAB,"TAU,LAB",aid,mod,"aid,mod",32.8,32.8,62,
WET,DUB,"WET,DUB",poi,dub,"poi,dub",32.8,32.8,158,
POP,EYE,"POP,EYE",pop,pun,"pop,pun",32.8,32.8,242,
SPY,RAW,"SPY,RAW",lot,too,"lot,too",32 7/8,32.875,473,
NAN,HAM,"NAN,HAM",tad,ham,"tad,ham",32 7/8,32.875,103,
IVY,TUX,"IVY,TUX",guy,dip,"guy,dip",32 7/8,32.875,411,
PIE,RAD,"PIE,RAD",pie,rad,"pie,rad",32 7/8,32.875,379,
ETA,BAH,"ETA,BAH",git,pot,"git,pot",32 7/8,32.875,601,
SEX,GEL,"SEX,GEL",loo,men,"loo,men",32 7/8,32.875,507,
LUG,ODD,"LUG,ODD",lug,dug,"lug,dug",32.9,32.9,425,
TAR,WAS,"TAR,WAS",tar,hid,"tar,hid",32.9,32.9,462,
TAX,FLY,"TAX,FLY",tax,mar,"tax,mar",32.9,32.9,331,
HOW,BOA,"HOW,BOA",cry,tie,"cry,tie",32.9,32.9,226,
GUT,INK,"GUT,INK",gut,pub,"gut,pub",33,33,486,
CIS,BAH,"CIS,BAH",pic,pot,"pic,pot",33,33,665,
TAU,FOG,"TAU,FOG",aid,mat,"aid,mat",33,33,61,
SEX,AMP,"SEX,AMP",loo,amp,"loo,amp",33,33,508,
SPY,RAD,"SPY,RAD",lot,rad,"lot,rad",33,33,474,
YES,AHI,"YES,AHI",tab,tug,"tab,tug",33.1,33.1,113,
GAS,ODD,"GAS,ODD",ape,dug,"ape,dug",33.1,33.1,426,
SIP,HEX,"SIP,HEX",ail,hex,"ail,hex",33.1,33.1,545,
GYM,EGO,"GYM,EGO",gym,rap,"gym,rap",33 1/8,33.125,574,
BRO,ARM,"BRO,ARM",rag,arm,"rag,arm",33 1/8,33.125,323,
TAU,LAM,"TAU,LAM",aid,ram,"aid,ram",33 1/8,33.125,63,
NAN,MOP,"NAN,MOP",tad,ass,"tad,ass",33.2,33.2,104,
WOW,NEW,"WOW,NEW",abs,ten,"abs,ten",33.2,33.2,498,1
NAN,FAN,"NAN,FAN",tad,tow,"tad,tow",33.2,33.2,100,
RUG,EGG,"RUG,EGG",log,rat,"log,rat",33 1/4,33.25,401,
BIO,JOY,"BIO,JOY",hem,and,"hem,and",33 1/4,33.25,477,
REF,BOA,"REF,BOA",lob,tie,"lob,tie",33 1/4,33.25,139,
CUP,DOG,"CUP,DOG",cup,dog,"cup,dog",33 1/4,33.25,589,
TAR,PHI,"TAR,PHI",tar,quo,"tar,quo",33 1/4,33.25,460,
IVY,EYE,"IVY,EYE",guy,pun,"guy,pun",33.3,33.3,413,
IVY,FOX,"IVY,FOX",guy,max,"guy,max",33.3,33.3,412,
BUG,ART,"BUG,ART",tap,art,"tap,art",33.3,33.3,182,
BOY,ORC,"BOY,ORC",tic,ale,"tic,ale",33.3,33.3,667,
CUP,BAR,"CUP,BAR",cup,tin,"cup,tin",33 3/8,33.375,587,
FRO,ASK,"FRO,ASK",apt,ask,"apt,ask",33 3/8,33.375,651,
HUG,BOX,"HUG,BOX",gum,mit,"gum,mit",33 3/8,33.375,676,
SIR,BAR,"SIR,BAR",lop,tin,"lop,tin",33 3/8,33.375,672,
ELF,WAR,"ELF,WAR",tan,pow,"tan,pow",33.4,33.4,274,
COY,CHI,"COY,CHI",coy,ran,"coy,ran",33.4,33.4,343,
ACE,POP,"ACE,POP",ace,pop,"ace,pop",33.4,33.4,216,1
OFF,FRO,"OFF,FRO",add,apt,"add,apt",33 1/2,33.5,648,1
PIE,GAL,"PIE,GAL",pie,mag,"pie,mag",33 1/2,33.5,381,
ARM,BIO,"ARM,BIO",arm,hem,"arm,hem",33 1/2,33.5,325,
GYM,BOX,"GYM,BOX",gym,mit,"gym,mit",33 1/2,33.5,578,
NOM,BIO,"NOM,BIO",cut,hem,"cut,hem",33 1/2,33.5,317,
FOX,BOY,"FOX,BOY",max,tic,"max,tic",33 1/2,33.5,605,
ADO,JOB,"ADO,JOB",ado,pug,"ado,pug",33 1/2,33.5,73,1
PIG,MOO,"PIG,MOO",pig,dot,"pig,dot",33.5,33.5,251,
EAR,JAM,"EAR,JAM",lye,tot,"lye,tot",33.5,33.5,310,
FAX,AIR,"FAX,AIR",the,air,"the,air",33.5,33.5,264,
GIG,EVE,"GIG,EVE",gig,had,"gig,had",33.5,33.5,95,
AGO,OAR,"AGO,OAR",ago,hey,"ago,hey",33.5,33.5,432,1
NAN,ZZZ,"NAN,ZZZ",tad,ark,"tad,ark",33.5,33.5,102,
GIG,MAC,"GIG,MAC",gig,mac,"gig,mac",33.5,33.5,92,
ETA,FOX,"ETA,FOX",git,max,"git,max",33.5,33.5,599,
COY,MAD,"COY,MAD",coy,mad,"coy,mad",33.5,33.5,341,
FIX,ODD,"FIX,ODD",pet,dug,"pet,dug",33.6,33.6,235,
ALL,EGG,"ALL,EGG",all,rat,"all,rat",33.6,33.6,403,
DAD,EGG,"DAD,EGG",dad,rat,"dad,rat",33.6,33.6,450,
ETA,PAY,"ETA,PAY",git,pup,"git,pup",33.6,33.6,598,
ASK,ORC,"ASK,ORC",ask,ale,"ask,ale",33 5/8,33.625,652,
GIN,WIZ,"GIN,WIZ",gin,due,"gin,due",33 5/8,33.625,201,
LAX,ASH,"LAX,ASH",pew,mid,"pew,mid",33.7,33.7,194,
TAG,TUB,"TAG,TUB",tag,tub,"tag,tub",33.7,33.7,560,
REF,FUN,"REF,FUN",lob,him,"lob,him",33.7,33.7,136,
FOR,OAK,"FOR,OAK",maw,her,"maw,her",33 3/4,33.75,623,
HUG,FLU,"HUG,FLU",gum,map,"gum,map",33 3/4,33.75,677,
OIL,ALA,"OIL,ALA",cub,tip,"cub,tip",33 3/4,33.75,287,
IVY,GAS,"IVY,GAS",guy,ape,"guy,ape",33 3/4,33.75,409,
