Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground
DRY,-56.95802341,99.52146798,25.78648963,DRY-5,REF_SHY_FLY_FUN,DRY-REF_DRY-SHY_DRY-FLY_DRY-FUN,DRY-REF-5_DRY-SHY-5_DRY-FLY-5_DRY-FUN-5,REF-5_SHY-5_FLY-5_FUN-5,0
RIB,0.777001594,-2.205857017,78.78930963,RIB-6_RIB-14,ERA_FOG_IRE_JUG_SOY,ERA-RIB_FOG-RIB_IRE-RIB_JUG-RIB_RIB-SOY,ERA-RIB-14_FOG-RIB-14_IRE-RIB-14_ERA-RIB-6_FOG-RIB-6_JUG-RIB-6_RIB-SOY-6,ERA-14_FOG-14_IRE-14_ERA-6_FOG-6_JUG-6_SOY-6,0
TUX,108.4933236,-15.46935902,-22.75135137,TUX-2_TUX-8,FOX_GAS,FOX-TUX_GAS-TUX,FOX-TUX-2_GAS-TUX-11,FOX-2_GAS-11,0
OFF,79.07137459,60.63561298,-81.79092937,OFF-2,ASK_CIS_FRO_GUN_WHO,ASK-OFF_CIS-OFF_FRO-OFF_GUN-OFF_OFF-WHO,ASK-OFF-2_CIS-OFF-2_GUN-OFF-2_FRO-OFF-1_OFF-WHO-2,ASK-2_CIS-2_GUN-2_FRO-1_WHO-1,1
HAM,-78.12024741,6.428795983,43.02018763,HAM-6,ACT_ASH_LAX_ZZZ_ICE,ACT-HAM_ASH-HAM_HAM-LAX_HAM-ZZZ_HAM-ICE,ACT-HAM-6_HAM-LAX-6_HAM-ZZZ-6_HAM-ICE-6_ASH-HAM-12,ACT-6_LAX-6_ZZZ-6_ICE-6_ASH-12,0
CHI,-102.5418844,-38.04451102,-16.48294537,CHI-9,AGE_BED_MAD_COY_DOG,AGE-CHI_BED-CHI_CHI-MAD_CHI-COY_CHI-DOG,AGE-CHI-9_BED-CHI-9_CHI-COY-9_CHI-DOG-9_CHI-MAD-9,AGE-9_BED-9_COY-9_DOG-9_MAD-12,0
FIX,74.09911959,-9.163696017,23.39753763,FIX-7_FIX-11,AIR_MAC_ODD_GAS_LUG,AIR-FIX_FIX-MAC_FIX-ODD_FIX-GAS_FIX-LUG,AIR-FIX-11_FIX-MAC-11_FIX-ODD-11_FIX-GAS-11_FIX-LUG-11_FIX-MAC-7,AIR-11_MAC-11_ODD-11_GAS-11_LUG-11_MAC-7,0
JAR,84.01051459,-54.19003002,-46.44022937,JAR-8,HAY_WIN_PAY_YAY_SAW,HAY-JAR_JAR-WIN_JAR-PAY_JAR-YAY_JAR-SAW,HAY-JAR-8_JAR-WIN-8_JAR-PAY-8_JAR-YAY-8_JAR-SAW-8,HAY-8_WIN-8_PAY-8_YAY-8_SAW-8,0
GIG,41.95506859,-21.83033602,51.21567163,GIG-14_GIG-11,COW_ERA_IRE_YES_LAW,COW-GIG_ERA-GIG_GIG-IRE_GIG-YES_GIG-LAW,COW-GIG-11_ERA-GIG-14_GIG-IRE-14_GIG-LAW-14_GIG-YES-14,COW-11_ERA-14_IRE-14_LAW-14_YES-7,0
ZIG,-112.1824644,49.38235198,-30.73944437,ZIG-4,DAY_GYM_SAY,DAY-ZIG_GYM-ZIG_SAY-ZIG,DAY-ZIG-4_GYM-ZIG-4_SAY-ZIG-4,DAY-4_GYM-4_SAY-4,0
JAM,30.08529959,-105.085851,49.11054163,JAM-13_JAM-11,HOT_ZOO_MOO,HOT-JAM_JAM-ZOO_JAM-MOO,JAM-ZOO-11_HOT-JAM-13_JAM-MOO-13,ZOO-11_HOT-13_MOO-10,0
FIG,-68.95094441,-94.26845802,33.62420063,FIG-12,ART_KEY_NOR_YAK,ART-FIG_FIG-KEY_FIG-NOR_FIG-YAK,ART-FIG-12_FIG-KEY-12_FIG-NOR-12_FIG-YAK-12,ART-12_KEY-12_NOR-12_YAK-12,0
WET,55.73786259,71.53245898,30.98683663,WET-1_WET-7,ARM_BRO_DUB_NIL_YES,ARM-WET_BRO-WET_DUB-WET_NIL-WET_WET-YES,ARM-WET-1_DUB-WET-1_BRO-WET-7_NIL-WET-7_WET-YES-7,ARM-1_DUB-1_BRO-7_NIL-7_YES-7,0
GIN,-90.01991741,31.45906698,17.70368663,GIN-6_GIN-4,BED_DAY_WIZ_TAX_ICE,BED-GIN_DAY-GIN_GIN-WIZ_GIN-TAX_GIN-ICE,BED-GIN-4_DAY-GIN-4_GIN-WIZ-4_GIN-TAX-4_GIN-ICE-4_GIN-ICE-6,BED-4_DAY-4_WIZ-4_TAX-4_ICE-4_ICE-6,0
LAM,-49.51198841,-46.33818502,61.93299363,LAM-12,ACT_ASH_BUG_TAU_TRY,ACT-LAM_ASH-LAM_BUG-LAM_LAM-TAU_LAM-TRY,ACT-LAM-12_ASH-LAM-12_BUG-LAM-12_LAM-TAU-12_LAM-TRY-12,ACT-12_ASH-12_BUG-12_TAU-6_TRY-6,0
PHI,72.03006459,-102.675703,5.518761628,PHI-11_PHI-8,GEL_TAR_WAS_SEX_SAW,GEL-PHI_PHI-TAR_PHI-WAS_PHI-SEX_PHI-SAW,PHI-TAR-11_PHI-WAS-11_PHI-TAR-8_PHI-SEX-8_PHI-SAW-8_GEL-PHI-10,TAR-11_WAS-11_TAR-8_SEX-8_SAW-8_GEL-10,0
OIL,-55.28968041,101.814954,-2.314150372,OIL-3_OIL-5,ALA_FLY_GUT_INK,ALA-OIL_FLY-OIL_GUT-OIL_INK-OIL,ALA-OIL-3_FLY-OIL-3_GUT-OIL-3_INK-OIL-3_FLY-OIL-5,ALA-3_FLY-3_GUT-3_INK-3_FLY-5,0
NIL,25.22632359,54.72796798,52.16379663,NIL-5_NIL-7,EON_ERA_TOY_WET_YES,EON-NIL_ERA-NIL_NIL-TOY_NIL-WET_NIL-YES,NIL-TOY-5_EON-NIL-7_ERA-NIL-7_NIL-TOY-7_NIL-WET-7_NIL-YES-7,TOY-5_EON-7_ERA-7_TOY-7_WET-7_YES-7,0
EYE,97.34155959,14.98342398,16.20123563,EYE-7,ACE_GAS_SUN_IVY_POP,ACE-EYE_EYE-GAS_EYE-SUN_EYE-IVY_EYE-POP,ACE-EYE-7_EYE-SUN-7_EYE-IVY-7_EYE-POP-7_EYE-GAS-7,ACE-7_SUN-7_IVY-7_POP-7_GAS-11,0
ELF,42.59283659,109.975758,-1.147938372,ELF-1,ADO_BIO_SPY_WAR_HOW,ADO-ELF_BIO-ELF_ELF-SPY_ELF-WAR_ELF-HOW,BIO-ELF-1_ELF-SPY-1_ELF-WAR-1_ELF-HOW-1_ADO-ELF-5,BIO-1_SPY-1_WAR-1_HOW-1_ADO-5,0
LEG,53.69602259,137.684574,-68.68453837,LEG-1,OVA_SPY_WHO_RAW_NIX,LEG-OVA_LEG-SPY_LEG-WHO_LEG-RAW_LEG-NIX,LEG-OVA-1_LEG-SPY-1_LEG-WHO-1_LEG-RAW-1_LEG-NIX-1,OVA-1_SPY-1_WHO-1_RAW-1_NIX-1,0
LAB,-37.12603241,-72.32935502,62.35637563,LAB-13_LAB-12,YAK_ZAP_OLD,LAB-YAK_LAB-ZAP_LAB-OLD,LAB-YAK-13_LAB-ZAP-13_LAB-OLD-13_LAB-YAK-12,YAK-13_ZAP-13_OLD-13_YAK-12,0
KIT,-93.70142841,-68.56138902,-19.98796437,KIT-9,AGE_ART_NOR_ONO,AGE-KIT_ART-KIT_KIT-NOR_KIT-ONO,AGE-KIT-9_KIT-NOR-9_KIT-ONO-9_ART-KIT-12,AGE-9_NOR-9_ONO-9_ART-12,0
MAY,-42.89736841,147.070363,-46.28103337,MAY-3,HEX_INK_SIP,HEX-MAY_INK-MAY_MAY-SIP,HEX-MAY-3_INK-MAY-3_MAY-SIP-3,HEX-3_INK-3_SIP-3,0
NIX,19.61778759,146.65104,-71.21173037,NIX-1,LEG_SPY_OVA_WHO_PIE,LEG-NIX_NIX-SPY_NIX-OVA_NIX-WHO_NIX-PIE,LEG-NIX-1_NIX-SPY-1_NIX-OVA-1_NIX-WHO-1_NIX-PIE-1,LEG-1_SPY-1_OVA-1_WHO-1_PIE-1,1
OVA,37.55681159,148.781207,-44.57590737,OVA-1,LEG_NIX_PIE_RAD,LEG-OVA_NIX-OVA_OVA-PIE_OVA-RAD,LEG-OVA-1_NIX-OVA-1_OVA-PIE-1_OVA-RAD-1,LEG-1_NIX-1_PIE-1_RAD-1,0
LAX,-79.20396241,-13.41357102,26.66345463,LAX-6_LAX-12,BUG_HAM_ICE_MAD_NAN,BUG-LAX_HAM-LAX_ICE-LAX_LAX-MAD_LAX-NAN,BUG-LAX-12_LAX-MAD-12_HAM-LAX-6_ICE-LAX-6_LAX-NAN-6,BUG-12_MAD-12_HAM-6_ICE-6_NAN-6,0
MAD,-97.55815141,-29.18252802,13.65649863,MAD-12,ART_CHI_COY_ICE_LAX,ART-MAD_CHI-MAD_COY-MAD_ICE-MAD_LAX-MAD,ART-MAD-12_COY-MAD-12_LAX-MAD-12_CHI-MAD-9_ICE-MAD-6,ART-12_COY-12_LAX-12_CHI-9_ICE-6,0
BOX,-102.3783024,45.64410998,-89.24967437,BOX-4,HUG_LID_EGO_VAN,BOX-HUG_BOX-LID_BOX-EGO_BOX-VAN,BOX-HUG-4_BOX-VAN-4_BOX-LID-4_BOX-EGO-4,HUG-4_VAN-4_LID-3_EGO-3,1
AGO,-77.59085641,99.85877998,-32.02837637,AGO-3,ALA_MIX_OAR_MOM_FLY,AGO-ALA_AGO-MIX_AGO-OAR_AGO-MOM_AGO-FLY,AGO-ALA-3_AGO-MIX-3_AGO-OAR-3_AGO-MOM-3_AGO-FLY-3,ALA-3_MIX-3_OAR-3_MOM-3_FLY-3,0
YES,54.23545259,26.39750798,41.98318563,YES-7,EON_GIG_NIL_WET,EON-YES_GIG-YES_NIL-YES_WET-YES,EON-YES-7_NIL-YES-7_WET-YES-7_GIG-YES-14,EON-7_NIL-7_WET-7_GIG-14,0
LAW,10.22523459,-26.85873602,65.73183363,LAW-14,FOG_GIG_IRE_LIE,FOG-LAW_GIG-LAW_IRE-LAW_LAW-LIE,FOG-LAW-14_GIG-LAW-14_IRE-LAW-14_LAW-LIE-14,FOG-14_GIG-14_IRE-14_LIE-14,0
ZAP,-18.45769141,-88.78774802,49.77636063,ZAP-13,BUG_LAB_PIG_TAU_YAK,BUG-ZAP_LAB-ZAP_PIG-ZAP_TAU-ZAP_YAK-ZAP,LAB-ZAP-13_PIG-ZAP-13_TAU-ZAP-13_YAK-ZAP-13_BUG-ZAP-12,LAB-13_PIG-13_TAU-13_YAK-13_BUG-12,0
FLY,-82.18924841,94.36766498,1.048107628,FLY-3_FLY-5,AGO_ALA_DRY_OIL_TAX,AGO-FLY_ALA-FLY_DRY-FLY_FLY-OIL_FLY-TAX,AGO-FLY-3_ALA-FLY-3_FLY-OIL-3_FLY-TAX-3_DRY-FLY-5_FLY-OIL-5,AGO-3_ALA-3_OIL-3_TAX-3_DRY-5_OIL-5,0
AHI,39.02183059,34.45504998,64.71688063,AHI-7,ERA_EON,AHI-ERA_AHI-EON,AHI-ERA-7_AHI-EON-7,ERA-7_EON-7,0
LUG,87.02662859,-36.21138802,-5.755776372,LUG-11_LUG-8,FIX_KEG_PAY_WHY,FIX-LUG_KEG-LUG_LUG-PAY_LUG-WHY,FIX-LUG-11_KEG-LUG-11_KEG-LUG-8_LUG-PAY-8_LUG-WHY-8,FIX-11_KEG-11_KEG-8_PAY-8_WHY-8,0
FLU,-106.7256264,-7.093324017,-80.89485437,FLU-4,BAR_HUG_SIR_VAN,BAR-FLU_FLU-HUG_FLU-SIR_FLU-VAN,BAR-FLU-4_FLU-HUG-4_FLU-VAN-4_FLU-SIR-4,BAR-4_HUG-4_VAN-4_SIR-9,1
GUN,80.21752159,86.71068098,-50.51652737,GUN-1_GUN-2,DIG_FRO_WHO_OFF_TUB,DIG-GUN_FRO-GUN_GUN-WHO_GUN-OFF_GUN-TUB,FRO-GUN-1_GUN-WHO-1_DIG-GUN-2_GUN-OFF-2_GUN-TUB-2,FRO-1_WHO-1_DIG-2_OFF-2_TUB-2,0
BED,-94.74560041,-9.822877017,-9.187424372,BED-12_BED-9_BED-4,AGE_ICE_GIN_CHI,AGE-BED_BED-ICE_BED-GIN_BED-CHI,BED-ICE-4_BED-GIN-4_AGE-BED-9_BED-CHI-9,ICE-4_GIN-4_AGE-9_CHI-9,0
GUT,-58.81736041,125.501099,-49.45211537,GUT-3,ALA_INK_HEX_RUM_OIL,ALA-GUT_GUT-INK_GUT-HEX_GUT-RUM_GUT-OIL,ALA-GUT-3_GUT-INK-3_GUT-HEX-3_GUT-RUM-3_GUT-OIL-3,ALA-3_INK-3_HEX-3_RUM-3_OIL-3,0
FUN,-41.77578841,81.21320698,46.46754063,FUN-5,DRY_FAN_NAY_VOW,DRY-FUN_FAN-FUN_FUN-NAY_FUN-VOW,DRY-FUN-5_FUN-NAY-5_FUN-VOW-5_FAN-FUN-6,DRY-5_NAY-5_VOW-5_FAN-6,0
HUG,-93.46122141,17.77017398,-89.94626137,HUG-4,BOX_CUP_FLU_VAN_SIR_LID,BOX-HUG_CUP-HUG_FLU-HUG_HUG-VAN_HUG-SIR_HUG-LID,BOX-HUG-4_CUP-HUG-4_FLU-HUG-4_HUG-VAN-4_HUG-SIR-4_HUG-LID-4,BOX-4_CUP-4_FLU-4_VAN-4_SIR-9_LID-3,1
SIR,-85.17058541,-36.93601502,-81.99597937,SIR-9,CUP_ELK_FLU_HUG_ONO_TAT,CUP-SIR_ELK-SIR_FLU-SIR_HUG-SIR_ONO-SIR_SIR-TAT,ELK-SIR-9_ONO-SIR-9_SIR-TAT-9_CUP-SIR-4_FLU-SIR-4_HUG-SIR-4,ELK-9_ONO-9_TAT-9_CUP-4_FLU-4_HUG-4,1
JUG,-5.433488406,37.92189098,71.05300363,JUG-5_JUG-6,ERA_JOB_PLY_RIB_MOP,ERA-JUG_JOB-JUG_JUG-PLY_JUG-RIB_JUG-MOP,JOB-JUG-5_JUG-PLY-5_ERA-JUG-6_JUG-PLY-6_JUG-RIB-6_JUG-MOP-6,JOB-5_PLY-5_ERA-6_PLY-6_RIB-6_MOP-6,0
GET,-11.22186041,-141.007733,-35.38363137,GET-10,CAB_COP_DAD_FOR_OAK_NEW,CAB-GET_COP-GET_DAD-GET_FOR-GET_GET-OAK_GET-NEW,CAB-GET-10_COP-GET-10_DAD-GET-10_FOR-GET-10_GET-OAK-10_GET-NEW-10,CAB-10_COP-10_DAD-10_FOR-10_OAK-10_NEW-10,1
ROB,41.82992959,-142.516761,-24.93582837,ROB-10,AMP_CAB_DAD_GEL_OAK,AMP-ROB_CAB-ROB_DAD-ROB_GEL-ROB_OAK-ROB,AMP-ROB-10_CAB-ROB-10_DAD-ROB-10_GEL-ROB-10_OAK-ROB-10,AMP-10_CAB-10_DAD-10_GEL-10_OAK-10,0
MAC,68.15962259,1.329739983,49.85057663,MAC-11_MAC-7,AIR_FIX_IRE_POP,AIR-MAC_FIX-MAC_IRE-MAC_MAC-POP,AIR-MAC-11_FIX-MAC-11_FIX-MAC-7_IRE-MAC-7_MAC-POP-7,AIR-11_FIX-11_FIX-7_IRE-7_POP-7,0
AMP,51.99566359,-118.984127,-45.29832237,AMP-8_AMP-10,ROB_YAY_SAW_CAB,AMP-ROB_AMP-YAY_AMP-SAW_AMP-CAB,AMP-ROB-10_AMP-CAB-10_AMP-YAY-8_AMP-SAW-8,ROB-10_CAB-10_YAY-8_SAW-8,1
BUG,-59.09933341,-64.50047202,38.98281863,BUG-12,ACT_LAM_ZAP_LAX_GOO,ACT-BUG_BUG-LAM_BUG-ZAP_BUG-LAX_BUG-GOO,ACT-BUG-12_BUG-LAM-12_BUG-LAX-12_BUG-GOO-12_BUG-ZAP-12,ACT-12_LAM-12_LAX-12_GOO-12_ZAP-13,0
GEL,53.08506359,-136.052756,7.895627628,GEL-10,DAD_EAR_SEX_PHI_ROB,DAD-GEL_EAR-GEL_GEL-SEX_GEL-PHI_GEL-ROB,DAD-GEL-10_EAR-GEL-10_GEL-SEX-10_GEL-ROB-10_GEL-PHI-10,DAD-10_EAR-10_SEX-10_ROB-10_PHI-8,0
FOR,-1.859306406,-159.398511,-11.69254437,FOR-10,EGG_OAK_GET_HIP,EGG-FOR_FOR-OAK_FOR-GET_FOR-HIP,EGG-FOR-10_FOR-OAK-10_FOR-GET-10_FOR-HIP-10,EGG-10_OAK-10_GET-10_HIP-10,0
TAU,-21.30092041,-46.13249602,61.36783063,TAU-14_TAU-13_TAU-6,ACT_LAM_LIE_OLD_ZAP,ACT-TAU_LAM-TAU_LIE-TAU_OLD-TAU_TAU-ZAP,LIE-TAU-13_OLD-TAU-13_TAU-ZAP-13_LIE-TAU-14_OLD-TAU-14_ACT-TAU-6_LAM-TAU-12,LIE-13_OLD-13_ZAP-13_LIE-14_OLD-14_ACT-6_LAM-12,0
SHY,-28.92061941,125.976734,7.891281628,SHY-5,BOA_DRY_HOW_INK,BOA-SHY_DRY-SHY_HOW-SHY_INK-SHY,BOA-SHY-5_DRY-SHY-5_HOW-SHY-5_INK-SHY-3,BOA-5_DRY-5_HOW-5_INK-3,0
WOW,-56.48277041,-131.871081,-17.25148337,WOW-10_WOW-9,GOO_KEY_NEW_SAD_WIG,GOO-WOW_KEY-WOW_NEW-WOW_SAD-WOW_WIG-WOW,GOO-WOW-10_NEW-WOW-10_SAD-WOW-10_KEY-WOW-9_WIG-WOW-9,GOO-10_NEW-10_SAD-10_KEY-9_WIG-9,0
FOX,113.4612856,14.11545098,-39.83334437,FOX-2,BOY_ETA_SKY_TUX_TAG,BOY-FOX_ETA-FOX_FOX-SKY_FOX-TUX_FOX-TAG,BOY-FOX-2_ETA-FOX-2_FOX-SKY-2_FOX-TUX-2_FOX-TAG-2,BOY-2_ETA-2_SKY-2_TUX-2_TAG-2,0
ZOO,53.59552959,-79.92789602,45.84201263,ZOO-11,COW_FAX_JAM_WAS,COW-ZOO_FAX-ZOO_JAM-ZOO_WAS-ZOO,COW-ZOO-11_FAX-ZOO-11_JAM-ZOO-11_WAS-ZOO-11,COW-11_FAX-11_JAM-11_WAS-11,0
