# edge,length (in)
HOW-REF,47.6
HOW-WAR,29.6
HOW-PIE,42.6
HOW-RUM,46.3
HOW-SHY,38.0
HUG-VAN,31.0
HUG-SIR,55.8
HUG-LID,51.7
ICE-MAD,31.6
ICE-SAY,40.3
ICE-LAX,32.7
INK-MAY,32.625
INK-RUM,34.875
INK-OIL,37.9
INK-SHY,39.3
IRE-YES,43.1
IRE-MAC,38.5
IRE-LAW,39.1
IRE-RIB,38.8
IVY-TUX,32.875
IVY-SUN,33.875
IVY-SKY,34.0
IVY-LUG,48.5
IVY-TAG,49.4
JAM-ZOO,35.4
JAM-PIG,34.9
JAM-LIE,36.7
JAM-MOO,35.6
JAR-TAR,47.0
JAR-WIN,30.5
JAR-PAY,31.0
JAR-LUG,45.1
JAR-YAY,44.6
JAR-WHY,32.1
JAR-SAW,37.8
JOB-NAY,29.0
JOB-NIL,30.0
JOB-JUG,39.2
JOB-TOY,35.4
JOB-PLY,35.9
JOY-NOM,35.1
JOY-SPY,35.7
JOY-RAW,34.4
JUG-PLY,35.7
JUG-RIB,40.9
JUG-NIL,38.9
JUG-SOY,41.7
JUG-MOP,40.6
KEG-WHY,32.375
KEG-ODD,31.2
KEG-TAR,32.4
KEG-WAS,29.2
KEG-LUG,34.5
KEY-WOW,33.75
KEY-NOR,30.9
KEY-SAD,29.8
KEY-WIG,38.7
KIT-NOR,40.5
KIT-WIG,39.4
KIT-ONO,47.1
LAB-LAM,28.1
LAB-TAU,32.8
LAB-YAK,29.8
LAB-ZAP,31.0
LAB-OLD,43.8
LAM-TAU,33.125
LAM-TRY,31.1
LAW-RIB,33.75
LAW-LIE,49.0
LAW-TAU,40.8
LAW-SOY,48.8
LAW-OLD,39.8
LAX-MAD,31.6
LAX-NAN,50.4
LEG-OVA,34.6
LEG-SPY,34.9
LEG-WHO,34.8
LEG-RAW,36.3
LEG-NIX,38.7
LID-MOM,46.2
LID-WAX,53.9
LIE-ZAP,49.2
LIE-OLD,34.9
LIE-TAU,52.9
LIE-PIG,54.9
LIE-ZOO,34.8
LUG-PAY,34.1
LUG-TAR,48.4
LUG-ODD,32.9
LUG-TUX,34.5
